Date,D_ER_Y/USD,ER_Y/USD,D_R_US,R_US,D_RGDP_US,RGDP_US,D_M0_US,M0_US,D_R_J,R_J,D_RGDP_J,RGDP_J,D_M0_J,M0_J,Actual
1/4/1994,-0.08,103.15,0.154618954,3.56,0.013460292,10333.5,0.022618089,406900,-0.088478729,2.27,-0.0057684,443745.8,-0.067349555,415721,USDD
1/7/1994,-0.04,99.05,0.179508615,4.26,0.005828051,10393.9,0.019711065,415000,-0.073091884,2.11,0.01165341,448947.2,-0.021363352,406934,USDD
1/10/1994,-0.01,98.45,0.110978508,4.76,0.011389686,10512.96,0.008876153,418700,0.009434032,2.13,-0.003967569,447169.5,0.028236132,418588,USDA
1/1/1995,0.01,99.74,0.149940147,5.53,0.003540775,10550.25,0.017754047,426200,0.063657852,2.27,0.011007481,452118.9,0.099523711,462391,USDD
1/4/1995,-0.11,89.35,0.089870457,6.05,0.002978428,10581.72,0.016983077,433500,-0.022272636,2.22,0.009157513,456278.2,-0.066313053,432723,USDD
1/7/1995,-0.05,84.6,-0.033616611,5.85,0.008471142,10671.74,0.005521063,435900,-0.482696456,1.37,0.01183601,461710.8,-0.015904963,425895,USDA
1/10/1995,0.15,98.3,-0.015504187,5.76,0.006766948,10744.2,0.001604585,436600,-0.537954291,0.8,0.002486344,462860.2,0.027414014,437732,USDA
1/1/1996,0.05,102.83,-0.035339366,5.56,0.007461714,10824.67,0.011613474,441700,-0.553385238,0.46,0.008100015,466624.6,0.113759303,490471,USDA
1/4/1996,0.03,106.28,-0.063100706,5.22,0.016541917,11005.22,0.003841379,443400,0.390866309,0.68,0.012503355,472495.6,-0.041704104,470437,USDA
1/7/1996,0.03,109.42,0.033901552,5.4,0.008930295,11103.94,0.014330742,449800,-0.045120435,0.65,0.001373038,473144.8,-0.006581469,467351,USDA
1/10/1996,0.01,110.97,-0.030077455,5.24,0.010330161,11219.24,0.005984724,452500,-0.242561637,0.51,0.011186815,478467.5,0.010442748,472257,USDA
1/1/1997,0.04,116,0.001906578,5.25,0.006435124,11291.67,0.021858794,462500,0.019418086,0.52,0.002551982,479690.1,0.108365164,526309,USDA
1/4/1997,0.07,124.05,0.048336547,5.51,0.016482741,11479.33,0.00646554,465500,0.109199292,0.58,-0.007682921,476018.8,-0.039264871,506044,USDD
1/7/1997,-0.08,114.4,0.001813237,5.52,0.012430124,11622.91,0.016194686,473100,0.082691716,0.63,0.002069414,477004.9,-0.007848219,502088,USDA
1/10/1997,0.06,121,-0.003629768,5.5,0.008550689,11722.72,0.009676138,477700,-0.15415068,0.54,0.000420243,477205.4,0.009056869,506656,USDA
1/1/1998,0.07,129.95,0.010850016,5.56,0.009944655,11839.88,0.027868456,491200,0.595983432,0.98,-0.01229199,471375.5,0.132495637,578436,USDA
1/4/1998,0.02,132.05,-0.0199825,5.45,0.009215105,11949.49,0.005886549,494100,-0.294508038,0.73,-0.004436659,469288.8,-0.047504764,551600,USDA
1/7/1998,0.06,140.85,0.016378892,5.54,0.012449909,12099.19,0.016658689,502400,-0.283126256,0.55,0.001824289,470145.7,-0.004189329,549294,USDD
1/10/1998,-0.04,135.25,-0.088653683,5.07,0.01603302,12294.74,0.020099199,512600,0.135801541,0.63,0.008040406,473941.1,0.006910424,553103,USDD
1/1/1999,-0.16,115.6,-0.09078395,4.63,0.009393921,12410.78,0.029411058,527900,0.076372979,0.68,-0.013867036,467414.3,0.08369275,601386,USDA
1/4/1999,0.04,120.4,0.023480268,4.74,0.008315331,12514.41,0.013733637,535200,-1.084013489,0.23,0.003765145,469177.5,-0.025968398,585970,USDA
1/7/1999,0.01,121.1,0.051398774,4.99,0.013143591,12679.98,0.025093568,548800,-0.737598943,0.11,0.0053156,471678.1,-0.002327057,584608,USDD
1/10/1999,-0.13,106.85,0.041222716,5.2,0.016294,12888.28,0.02856054,564700,0.374693449,0.16,0.000362046,471848.9,0.01637708,594261,USDD
1/1/2000,-0.04,102.2,0.046956983,5.45,0.003637772,12935.25,0.063796702,601900,0,0.16,0.016836213,479860.3,0.14473616,686808,USDA
1/4/2000,0.04,105.85,0.099471651,6.02,0.018042319,13170.75,-0.039479926,578600,-0.826678573,0.07,0.004726234,482133.6,-0.055379381,649807,USDD
1/7/2000,0.00,105.4,0.082849906,6.54,0.000997168,13183.89,0.009631997,584200,0.356674944,0.1,0.000255498,482256.8,-0.04349096,622152,USDA
1/10/2000,0.02,107.85,-0.004597709,6.51,0.005926024,13262.25,0.001881146,585300,1.30833282,0.37,0.009671964,486943.8,-0.006273737,618261,USDA
1/1/2001,0.06,114.9,-0.084918888,5.98,-0.003247553,13219.25,0.022636102,598700,0.301105093,0.5,0.00739786,490559.5,0.094576034,679588,USDA
1/4/2001,0.08,124.6,-0.21980465,4.8,0.00619444,13301.39,0.004998344,601700,-1.514127733,0.11,-0.007534436,486877.3,-0.033253397,657361,USDD
1/7/2001,0.00,124.05,-0.241540916,3.77,-0.004011376,13248.14,0.023487981,616000,-2.397895273,0.01,-0.01095535,481572.5,0.018654749,669739,USDD
1/10/2001,-0.04,119.3,-0.414792291,2.49,0.002769381,13284.88,0.030692946,635200,0,0.01,-0.003415906,479930.3,0.053231275,706356,USDA
1/1/2002,0.10,131.8,-0.364161302,1.73,0.008248238,13394.91,0.028861584,653800,1.098612289,0.03,0.001686738,480740.5,0.117497964,794424,USDA
1/4/2002,0.01,133.2,0.011494379,1.75,0.006136457,13477.36,0.014576632,663400,0,0.03,0.00807047,484636,0.092590509,871493,USDD
1/7/2002,-0.11,119.45,-0.011494379,1.73,0.004026796,13531.74,0.02368473,679300,-0.405465108,0.02,0.003136197,486158.3,-0.019887956,854332,USDA
1/10/2002,0.02,121.55,0.011494379,1.75,0.001305705,13549.42,0.003820163,681900,-0.693147181,0.01,0.002776512,487510,0.00366515,857469,USDD
1/1/2003,-0.01,119.9,-0.344504408,1.24,0.005153708,13619.43,0.025196815,699300,0,0.01,0.000625638,487815.1,0.101891523,949444,USDA
1/4/2003,0.00,120.15,0.016000341,1.26,0.00889462,13741.11,0.014621596,709600,0,0.01,0.006852027,491169.1,0.017762327,966459,USDD
1/7/2003,0.00,119.85,-0.22116139,1.01,0.016531557,13970.16,0.01121088,717600,0,0.01,0.002943325,492616.9,0.061373529,1027632,USDD
1/10/2003,-0.07,111.2,0,1.01,0.01147423,14131.38,0.009983444,724800,0,0.01,0.010820893,497976.4,0.00843043,1036332,USDD
1/1/2004,-0.04,107.1,-0.009950331,1,0.005712745,14212.34,0.015877695,736400,0.693147181,0.02,0.007315094,501632.5,0.036624734,1074991,USDD
1/4/2004,-0.03,104.3,0,1,0.007757432,14323.02,0.006497045,741200,-0.693147181,0.01,0.000168237,501716.9,0.005794391,1081238,USDA
1/7/2004,0.04,108.38,0.231111721,1.26,0.009368103,14457.83,0.021488982,757300,0,0,0.006097174,504785.3,-0.007688293,1072957,USDA
1/10/2004,0.02,111,0.334202088,1.76,0.010168881,14605.6,0.008677414,763900,0,0,-0.001944696,503804.6,0.011346835,1085201,USDD
1/1/2005,-0.06,104.12,0.258861634,2.28,0.011047504,14767.85,0.01468417,775200,0,0.02,0.005138179,506399.9,0.031357191,1119769,USDA
1/4/2005,0.03,107.35,0.201866153,2.79,0.004854175,14839.71,0.000386922,775500,-0.693147181,0.01,0.007780672,510355.4,-0.014815819,1103301,USDA
1/7/2005,0.03,110.4,0.1556856,3.26,0.007825251,14956.29,0.009496991,782900,0,0,0.010091449,515531.7,-0.010674911,1091586,USDA
1/10/2005,0.02,113.15,0.147996814,3.78,0.00566315,15041.23,0.005477372,787200,0,0.01,0.001726821,516422.7,0.011262972,1103950,USDA
1/1/2006,0.04,117.97,0.126562723,4.29,0.01339679,15244.09,0.021365649,804200,0,0.01,0.001536706,517216.9,0.02373528,1130466,USDD
1/4/2006,0.00,117.4,0.110243678,4.79,0.002453023,15281.53,0.006198111,809200,1.609437912,0.05,0.001638588,518065.1,-0.033894963,1092791,USDD
1/7/2006,-0.02,114.95,0.089791087,5.24,0.0015033,15304.52,0.002838282,811500,0.182321557,0.06,-0.001997302,517031.4,-0.178409166,914229,USDA
