Date,ER_Y/USD,R_US,RGDP_US,M0_US,R_J,RGDP_J,M0_J,ValueNP,Actual
1/4/1994,103.15,3.56,1.013551289,1.022875817,-0.21,0.994248206,0.934868356,-4.1,USDD
1/7/1994,99.05,4.26,1.005845067,1.019906611,-0.16,1.011721576,0.978863228,-0.6,USDD
1/10/1994,98.45,4.76,1.011454796,1.008915663,0.02,0.996040292,1.028638551,1.29,USDA
1/1/1995,99.74,5.53,1.00354705,1.017912587,0.14,1.011068286,1.104644663,-10.39,USDD
1/4/1995,89.35,6.05,1.002982868,1.017128109,-0.05,1.009199571,0.935837852,-4.75,USDD
1/7/1995,84.6,5.85,1.008507124,1.005536332,-0.85,1.011906333,0.984220853,13.7,USDA
1/10/1995,98.3,5.76,1.006789896,1.001605873,-0.57,1.002489437,1.027793235,4.53,USDA
1/1/1996,102.83,5.56,1.007489622,1.011681173,-0.34,1.008132909,1.120482396,3.45,USDA
1/4/1996,106.28,5.22,1.016679492,1.003848766,0.22,1.012581848,0.959153548,3.14,USDA
1/7/1996,109.42,5.4,1.008970289,1.01443392,-0.03,1.001373981,0.993440142,1.55,USDA
1/10/1996,110.97,5.24,1.010383702,1.006002668,-0.14,1.011249622,1.010497463,5.03,USDA
1/1/1997,116,5.25,1.006455874,1.022099448,0.01,1.002555241,1.11445463,8.05,USDA
1/4/1997,124.05,5.51,1.016619331,1.006486486,0.06,0.992346517,0.961496003,-9.65,USDD
1/7/1997,114.4,5.52,1.012507699,1.016326531,0.05,1.002071557,0.992182498,6.6,USDA
1/10/1997,121,5.5,1.00858735,1.009723103,-0.09,1.000420331,1.009098007,8.95,USDA
1/1/1998,129.95,5.56,1.009994268,1.028260414,0.44,0.987783248,1.141674035,2.1,USDA
1/4/1998,132.05,5.45,1.009257695,1.005903909,-0.25,0.995573168,0.95360593,8.8,USDA
1/7/1998,140.85,5.54,1.012527731,1.016798219,-0.18,1.001825955,0.995819434,-5.6,USDD
1/10/1998,135.25,5.07,1.016162239,1.020302548,0.08,1.008072817,1.006934356,-19.65,USDD
1/1/1999,115.6,4.63,1.009438183,1.029847835,0.05,0.986228668,1.087294771,4.8,USDA
1/4/1999,120.4,4.74,1.008349999,1.013828377,-0.45,1.003772242,0.974365881,0.7,USDA
1/7/1999,121.1,4.99,1.013230348,1.025411061,-0.12,1.005329753,0.997675649,-14.25,USDD
1/10/1999,106.85,5.2,1.016427471,1.028972303,0.05,1.000362111,1.016511919,-4.65,USDD
1/1/2000,102.2,5.45,1.003644396,1.065875686,0,1.01697874,1.155734601,3.65,USDA
1/4/2000,105.85,6.02,1.018206065,0.961289251,-0.09,1.00473742,0.946126137,-0.45,USDD
1/7/2000,105.4,6.54,1.000997665,1.009678534,0.03,1.000255531,0.957441209,2.45,USDA
1/10/2000,107.85,6.51,1.005943618,1.001882917,0.27,1.009718888,0.993745901,7.05,USDA
1/1/2001,114.9,5.98,0.996757715,1.022894242,0.13,1.007425292,1.099192736,9.7,USDA
1/4/2001,124.6,4.8,1.006213666,1.005010857,-0.39,0.992493877,0.967293419,-0.55,USDD
1/7/2001,124.05,3.77,0.995996659,1.023765996,-0.1,0.989104442,1.018829836,-4.75,USDD
1/10/2001,119.3,2.49,1.002773219,1.031168831,0,0.996589922,1.054673537,12.5,USDA
