Status of existing checking account,Duration in month,Credit history,Purpose,Credit amount,Savings account bonds,Present employment since,Installment rate in percentage of disposable income,Personal status and sex,Other debtors / guarantors,Present residence since,Property,Age in years,Other installment plans ,Housing,Number of existing credits at this bank,Job,Number of people being liable to provide maintenance for,Telephone,foreign worker,Good or bad indicator
<0DM,6,critical account,radio/television,1169,unknown,>=7years,4,male:single,none,4,real estate,67,none,own,2,0,1,yes,yes,0
"[0DM,200DM]",48,existing credits paid back duly till now,radio/television,5951,<100DM,"[1,4years]",2,female:divorced/separated/married,none,2,real estate,22,none,own,1,0,1,no,yes,1
no checking account,12,critical account,education,2096,<100DM,"[4,7years]",2,male:single,none,3,real estate,49,none,own,1,0,2,no,yes,0
<0DM,42,existing credits paid back duly till now,furniture/equipment,7882,<100DM,"[4,7years]",2,male:single,guarantor,4,life insurance,45,none,for free,1,0,2,no,yes,0
<0DM,24,delay in paying off in the past,car(new),4870,<100DM,"[1,4years]",3,male:single,none,4,no property,53,none,for free,2,0,2,no,yes,1
no checking account,36,existing credits paid back duly till now,education,9055,unknown,"[1,4years]",2,male:single,none,4,no property,35,none,for free,1,0,2,yes,yes,0
no checking account,24,existing credits paid back duly till now,furniture/equipment,2835,"[500,1000DM]",>=7years,3,male:single,none,4,life insurance,53,none,own,1,0,1,no,yes,0
"[0DM,200DM]",36,existing credits paid back duly till now,car(used),6948,<100DM,"[1,4years]",2,male:single,none,2,car or other,35,none,rent,1,1,1,yes,yes,0
no checking account,12,existing credits paid back duly till now,radio/television,3059,>=1000DM,"[4,7years]",2,male:divorced/separated,none,4,real estate,61,none,own,1,0,1,no,yes,0
"[0DM,200DM]",30,critical account,car(new),5234,<100DM,unemployed,4,male:married/widowed,none,2,car or other,28,none,own,2,0,1,no,yes,1
"[0DM,200DM]",12,existing credits paid back duly till now,car(new),1295,<100DM,<1year,3,female:divorced/separated/married,none,1,car or other,25,none,rent,1,0,1,no,yes,1
<0DM,48,existing credits paid back duly till now,business,4308,<100DM,<1year,3,female:divorced/separated/married,none,4,life insurance,24,none,rent,1,0,1,no,yes,1
"[0DM,200DM]",12,existing credits paid back duly till now,radio/television,1567,<100DM,"[1,4years]",1,female:divorced/separated/married,none,1,car or other,22,none,own,1,0,1,yes,yes,0
<0DM,24,critical account,car(new),1199,<100DM,>=7years,4,male:single,none,4,car or other,60,none,own,2,0,1,no,yes,1
<0DM,15,existing credits paid back duly till now,car(new),1403,<100DM,"[1,4years]",2,female:divorced/separated/married,none,4,car or other,28,none,rent,1,0,1,no,yes,0
<0DM,24,existing credits paid back duly till now,radio/television,1282,"[100,500DM]","[1,4years]",4,female:divorced/separated/married,none,2,car or other,32,none,own,1,0,1,no,yes,1
no checking account,24,critical account,radio/television,2424,unknown,>=7years,4,male:single,none,4,life insurance,53,none,own,2,0,1,no,yes,0
<0DM,30,nocreditstaken,business,8072,unknown,<1year,2,male:single,none,3,car or other,25, bank,own,3,0,1,no,yes,0
"[0DM,200DM]",24,existing credits paid back duly till now,car(used),12579,<100DM,>=7years,4,female:divorced/separated/married,none,2,no property,44,none,for free,1,1,1,yes,yes,1
